,sentence
146,뉴스투데이안중근 의사의 삶을 조명한 뮤지컬 영웅을 스크린에 옮긴 작품이죠.
147,* 아래 텍스트는 실제 영상 내용과 차이가 있을 수 있으니 영상으로 확인하시기 바랍니다.
148,대화라도 해야 되는데 그냥 거의 정치평론가가 야당에 앞장서서 비판하던 그런 날선 것을 하는 것을 보면 정작 해야 될 것을 안 하고 딴 짓을 한다며 그런 학생 있지 않습니까?
149,그러니까 점수가 좋을 리가 있나요이재오 머리 좋은 사람들은 그래요물론 대통령의 의지는 이해가 가요.
150,그런데 지금 막 결론도 안 나고 이 사람 저 사람 각각 얘기하는데 되겠습니까?이재오대통령의 의지나 의욕은 충분히 이해를 하겠는데 저게 모든 방송에 다 생중계한 거예요?앵커거의 대부분의 방송 YTN 포함해서 생중계를 했습니다이재오YTN도 생중계하고?이상민그러니까 얼마나 낭비예요 그게이재오뭐 의도는 충분히 이해가 가나 저거야말로 보여주기식 전형이죠.
151,뉴스투데이방송인 박수홍 씨의 사생활에 대해 각종 의혹을 제기한 유튜버 김용호 씨가 검찰 수사 결과 명예훼손 혐의로 재판에 넘겨졌습니다.
152,김씨는 지난해 자신의 유튜브 채널에서 박수홍씨 아내가 예전에 박수홍씨 친구와 연인이었다거나 박씨 형 부부가 아니라 박수홍씨가 횡령을 했다고 주장했고요.
153,박수홍씨 반려묘는 길고양이가 아니라 돈벌이를 위해 섭외했다는 의혹도 제기했는데요박수홍씨 측 변호인은 김 씨는 수사 과정에서 의혹을 뒷받침할 증거를 내놓지 못했고 수사 결과 결국 모두 허위로 밝혀졌다며 엄벌을 호소했습니다.
154,이날 김혜수씨는 저축·투자 부문에서 대통령 표창을 받았으며 박보검 씨는 국무총리 표창을 차승원 씨는 금융위원장 표창을 각각 받았다.
155,사진|하늘 SNS 유튜버 하늘이 초호화 결혼식을 올리며 어마어마한 연예인 인맥을 가진 남편 하마씨에 관심이 모아졌다.
156,하늘의 결혼식에는 유세윤 이하늘 세븐 규현 고준희 소유 김종국 김희철 등이 참석했고 배우 이병헌 이진욱 홍석천 지현우 이민정 이제훈 가수 싸이 슈퍼주니어 비 김종국 다이나믹 듀오 김희철 크러쉬 김재중 이민우 백현 윤도현 박재범 송민호 등이 축전을 보냈다.
157,흡사 연예계 시상식을 방불케 하는 화려한 하객과 영상 면면이 놀라움을 자아냈다.
158,유튜버 이진호는 대한민국에서 이 정도 인맥을 가지다니 대단하다며 대다수 연예인들은 하늘을 모른다.
159,이진호는 지드래곤이 카페를 준비할 때 적극적으로 도와 준 인물이라며 제주도에서 다방면으로 사업을 한다.
160,그러면서 연예인이나 방송국이 제주도 촬영을 오면 대부분 이들 형제들에게 도움을 받는다.
161,그래서 연예인들 뿐만 아니라 관계자들까지와도 친하다면서 성격도 정말 좋다고 한다.
162,사업적인 걸 떠나서 연예인들의 제주도 생활에 편의를 봐주는 인물이라고 덧붙여 초화화 연예계 인맥의 비결을 덧붙였다.
163,학폭 논란이 불거졌던 하늘의 결혼식에 연예인들이 축전을 보냈다는 비난과 관련해 이진호는 남편이 연예인들에게 부탁했다고 한다.
164,당시 하늘은 먼저 해명과 변명보다는 당사자들에게 사과하는 게 우선이라고 생각했다면서 연락 온 친구들 한명한명 모두 만나 진심으로 사과와 용서를 구했다.
165,공개된 메이킹 영상에는 설레는 마음으로 첫 촬영에 임한 메쏘드 엔터 식구들의 모습이 담겼다.
166,첫 촬영임에도 불구 총괄이사이자 실세 ‘마태오’ 역의 이서진은 냉철하게 문제를 파악하며 상황을 압도 탑 매니저의 노련함을 보여줬다.
167,또 다른 팀장 매니저 ‘김중돈’ 역의 서현우는 “바이크 의상 헬멧들이 중돈 다운 모습을 만들어 주는 것 같아 행복하다며 귀여운 캐릭터에 푹 빠져든 열연을 선보였다.
168,그래서 첫 촬영을 많이 기다렸다는 신입 매니저 ‘소현주’ 역의 주현영 역시 모두의 시선을 집중시키는 에너지로 그 설렘을 담아냈다.
169,저마다의 개성을 지닌 캐릭터에 완벽하게 체화된 이들의 ‘미친 열연’에 백승룡 감독 또한 입을 다물지 못했다는 후문이다.
170,특히 메쏘드 엔터 식구들이 함께할수록 배가되는 웃음과 케미스트리는 ‘연예인 매니저로 살아남기’를 더욱 기대하게 만드는 포인트다.
171,곽선영 또한 “첫 촬영임에도 굉장히 분위기도 좋고 마치 오랜 시간 같이 촬영했던 것처럼 진행됐다고 설명할 정도로 초지일관 화기애애한 분위기를 이끌었기 때문.
172,만나기만 하면 현장은 웃음바다가 되는 이들의 환상적인 케미스트리는 보는 이들의 광대 또한 치솟게 만들면서 본 방송에 대한 무한한 기대를 끌어올린다.
173,제작진은 “웃음이 끊이질 않았던 ‘연예인 매니저로 살아남기’의 첫 촬영 현장이 공개됐다.
174,현장에서의 유쾌한 에너지가 본 방송에서는 배로 전해질 것이다라며 “모든 배우들이 본인들도 몸담고 있는 엔터테인먼트 업계를 더더욱 리얼하게 표현하게 위해 열연을 아끼지 않고 모두 쏟아냈다.
175,얼마 남지 않은 첫 방송까지 예비 시청자 여러분의 많은 기대와 관심 부탁드린다고 전했다.
176,손호영은 양정원을 만나자마자 박력 있게 어깨동무를 하는 등 자연스러운 스킨십을 했다.
177,양정원은 편한 트레이닝복 차림으로 나온 손호영의 패션을 지적했고 옷 가게로 데려가 평소 손호영의 스타일과 반대되는 화려한 옷들을 추천했다.
