,sentence
93,마을 잔치를 열어 동네 분들과 함께 어우러지는 모습 친구들을 초대해서 함께 이야기하고 쉴 수 있는 출연자들의 체취와 손때가 가득한 집으로 완성되는 과정도 보실 수 있다.
94,예를 들어 시골 빈집이 어떤 정책적인 지원을 받을 수 있는지 그리고 법률적으로 고려해야 할 부분들은 무엇인지 등 빈집을 리모델링하는 과정의 꿀팁을 얻으실 수 있다.
95,방송 이후 ’세컨 하우스‘의 활용도 궁금하다- 촬영이 끝난 후에는 세컨 하우스들은 해당 시군에 기부 체납 형식으로 기증하게 된다.
96,이미 빈집 문제는 많은 지자체들의 중요한 이슈 중에 하나기 때문에 각 지자체 별로 활용방안들이 다양하게 있다.
97,예비 시청자분께 하고 싶은 말이 있다면- 우선 시골 부모님께서 물려주신 빈집을 가지고 계신 분이 꽤 많다고 한다.
98,혹시 그 집을 세컨 하우스로 활용하시고 싶으신 분들은 저희 프로그램 꼭 보시기를 바란다.
99,귀농이나 귀촌 등을 꿈꾸시는 분들 역시 저희 프로그램 통해 많은 정보를 얻으실 수 있을 거 같다.
100,하이브와 SM엔터테인먼트 등 글로벌 엔터 공룡들이 꽉 잡고 있는 시장에 소속 연예인 한 명 없이 이 시장에서 돌풍을 일으킨 사람이 있다.
101,“예술가 돈만으론 안 움직이더라 배우 하정우의 연기 클래스원더월은 하정우 황정민 기리보이 자이언티 등이 등장해 무대를 열고 강의하는 플랫폼이다.
102,기존 연예기획사와 공연기획사가 하던 일 중 소속 아티스트를 관리하는 ‘매니지먼트’ 기능만 뺀 회사다.
103,미국 뉴욕 컬럼비아대학원에서 교육학을 전공하고 자산운용사에서 엔터테인먼트와 소프트웨어 게임사에 투자하는 역할을 맡았다.
104,배우 황정민의 연기 클래스모두가 레드오션이라고 부르는 엔터 시장에서 그는 두 가지에 꽂혔다.
105,데이비드 로지어가 만든 마스터클래스는 세계 최고 권위자에게 노하우를 배울 수 있는 라이브 스트리밍 플랫폼.
106,영화감독 마틴 스코세이지 테니스 선수 세리나 윌리엄스 농구 스타 스테판 커리 배우 사무엘 잭슨 등이 강연자로 등장한다.
107,아티스트 IP 서비스까지 내부에서 전담할 수 있는 소속사가 많지 않아 답답함을 느낀 스타들이 자신의 회사를 낸 것.
108,도제식 교육을 넘어 아티스트가 가진 연기 작곡 작사 노하우를 풀어낼 수 있는 무대가 필요하다고 생각했죠.
109,하정우 수십 번 찾아가 설득 뮤지션 기리보이의 뮤직 클래스“유명인은 단순히 돈만으로 움직이지 않는다는 걸 깨달았어요.
110,수요자뿐만 아니라 공급자인 아티스트에게 개런티 이상의 색다른 경험을 주면 한국에서도 통할 것 같았죠.
111,힙합 가수 기리보이가 자신이 작업한 곡들에 관한 이야기를 들려주는 클래스 영상을 올리자 팬들이 ‘그 옷 어디서 샀냐’는 문의를 해와 자연스럽게 아티스트와 협업한 자체상품(MD) 사업도 하게 됐죠.
112,작업했던 아티스트들이 의기투합해 함께 무대에 서면 재미있겠다고 해서 시작한 것.
113,그는 “아티스트들이 스스로 서고 싶은 무대를 만들고 팬덤과 아티스트들을 연결하는 플랫폼을 구축하는 게 다음 목표라고 했다.
114,/원더월 제공김 대표는 아티스트와 팬덤을 연결하는 메신저 플랫폼 ‘프롬’을 연말 출시한다.
115,아이돌뿐 아니라 아티스트 작사가 등 모든 크리에이터를 위한 공간으로 단순히 사진과 메시지를 주고받는 것을 넘어 아티스트의 멘토링과 소통 창구가 되는 플랫폼이다.
